,cat_level_0,cat_level_1,cat_level_2,cat_level_3,cat_level_4,cat_level_5
33,Home Furnishing,Home Furnishing/Living Room Furnishing,Home Furnishing/Living Room Furnishing/Diwan Sets,Home Furnishing/Living Room Furnishing/Diwan Sets/SANTOSH ROYAL FASHION Diwan Sets,Home Furnishing/Living Room Furnishing/Diwan Sets/SANTOSH ROYAL FASHION Diwan Sets/SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,Home Furnishing/Living Room Furnishing/Diwan Sets/SANTOSH ROYAL FASHION Diwan Sets/SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set/
34,Home Furnishing,Home Furnishing/Bed Linen,Home Furnishing/Bed Linen/Duvet Covers,Home Furnishing/Bed Linen/Duvet Covers/House This Duvet Covers,Home Furnishing/Bed Linen/Duvet Covers/House This Duvet Covers/House This Queen Cotton Duvet Cover (Grey),Home Furnishing/Bed Linen/Duvet Covers/House This Duvet Covers/House This Queen Cotton Duvet Cover (Grey)/
35,Home Furnishing,Home Furnishing/Bath Linen,Home Furnishing/Bath Linen/Bath Mats,Home Furnishing/Bath Linen/Bath Mats/,Home Furnishing/Bath Linen/Bath Mats//,Home Furnishing/Bath Linen/Bath Mats///
36,Home Decor & Festive Needs,Home Decor & Festive Needs/Candles & Fragrances,Home Decor & Festive Needs/Candles & Fragrances/Home Fragrances,Home Decor & Festive Needs/Candles & Fragrances/Home Fragrances/Aroma Oils,Home Decor & Festive Needs/Candles & Fragrances/Home Fragrances/Aroma Oils/Myesquire Aroma Oils,Home Decor & Festive Needs/Candles & Fragrances/Home Fragrances/Aroma Oils/Myesquire Aroma Oils/
37,Kitchen & Dining,Kitchen & Dining/Tableware & Cutlery,"Kitchen & Dining/Tableware & Cutlery/Jug, Glass & Tray Sets","Kitchen & Dining/Tableware & Cutlery/Jug, Glass & Tray Sets/Dungri India Craft Jug, Glass & Tray Sets","Kitchen & Dining/Tableware & Cutlery/Jug, Glass & Tray Sets/Dungri India Craft Jug, Glass & Tray Sets/Dungri India Craft Ducjug010-ducgl012-2 Jug Glas...","Kitchen & Dining/Tableware & Cutlery/Jug, Glass & Tray Sets/Dungri India Craft Jug, Glass & Tray Sets/Dungri India Craft Ducjug010-ducgl012-2 Jug Glas.../"
38,Kitchen & Dining,Kitchen & Dining/Lighting,Kitchen & Dining/Lighting/Bulbs,Kitchen & Dining/Lighting/Bulbs/BFT Bulbs,Kitchen & Dining/Lighting/Bulbs/BFT Bulbs/BFT 6 W LED Bulb (White),Kitchen & Dining/Lighting/Bulbs/BFT Bulbs/BFT 6 W LED Bulb (White)/
39,Home Furnishing,Home Furnishing/JMD Home Furnishing,"Home Furnishing/JMD Home Furnishing/JMD Printed Cushions Cover (Pack of 2, 40 cm*40 ...","Home Furnishing/JMD Home Furnishing/JMD Printed Cushions Cover (Pack of 2, 40 cm*40 .../","Home Furnishing/JMD Home Furnishing/JMD Printed Cushions Cover (Pack of 2, 40 cm*40 ...//","Home Furnishing/JMD Home Furnishing/JMD Printed Cushions Cover (Pack of 2, 40 cm*40 ...///"
40,Baby Care,Baby Care/Infant Wear,Baby Care/Infant Wear/Baby Girls' Clothes,Baby Care/Infant Wear/Baby Girls' Clothes/Innerwear & Sleepwear,Baby Care/Infant Wear/Baby Girls' Clothes/Innerwear & Sleepwear/Night Suits,Baby Care/Infant Wear/Baby Girls' Clothes/Innerwear & Sleepwear/Night Suits/Mom and Kid Night Suits
41,Home Furnishing,Home Furnishing/Kripa's Home Furnishing,"Home Furnishing/Kripa's Home Furnishing/Kripa's Printed Cushions Cover (Pack of 2, 45 cm...","Home Furnishing/Kripa's Home Furnishing/Kripa's Printed Cushions Cover (Pack of 2, 45 cm.../","Home Furnishing/Kripa's Home Furnishing/Kripa's Printed Cushions Cover (Pack of 2, 45 cm...//","Home Furnishing/Kripa's Home Furnishing/Kripa's Printed Cushions Cover (Pack of 2, 45 cm...///"
42,Baby Care,Baby Care/Infant Wear,Baby Care/Infant Wear/Baby Girls' Clothes,Baby Care/Infant Wear/Baby Girls' Clothes/Innerwear & Sleepwear,Baby Care/Infant Wear/Baby Girls' Clothes/Innerwear & Sleepwear/Night Suits,Baby Care/Infant Wear/Baby Girls' Clothes/Innerwear & Sleepwear/Night Suits/Mom and Kid Night Suits
43,Beauty and Personal Care,Beauty and Personal Care/Hair Care,Beauty and Personal Care/Hair Care/Conditioners,Beauty and Personal Care/Hair Care/Conditioners/Burt s Bees Conditioners,Beauty and Personal Care/Hair Care/Conditioners/Burt s Bees Conditioners/Burt s Bees Hair Repair Shea And Grapefruit Deep...,Beauty and Personal Care/Hair Care/Conditioners/Burt s Bees Conditioners/Burt s Bees Hair Repair Shea And Grapefruit Deep.../
44,Kitchen & Dining,Kitchen & Dining/Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP i-loves-music Ceramic Mug (300 ml),Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP i-loves-music Ceramic Mug (300 ml)/,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP i-loves-music Ceramic Mug (300 ml)//
45,Kitchen & Dining,Kitchen & Dining/Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP i-love-my-mom Ceramic Mug (300 ml),Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP i-love-my-mom Ceramic Mug (300 ml)/,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP i-love-my-mom Ceramic Mug (300 ml)//
46,Kitchen & Dining,Kitchen & Dining/Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP keep-calm Ceramic Mug (300 ml),Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP keep-calm Ceramic Mug (300 ml)/,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP keep-calm Ceramic Mug (300 ml)//
47,Computers,Computers/Network Components,Computers/Network Components/Routers,Computers/Network Components/Routers/D-Link Routers,Computers/Network Components/Routers/D-Link Routers/D-Link DAP1320 (White),Computers/Network Components/Routers/D-Link Routers/D-Link DAP1320 (White)/
48,Kitchen & Dining,Kitchen & Dining/Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP league-of-legends Ceramic Mug (300 ml),Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP league-of-legends Ceramic Mug (300 ml)/,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP league-of-legends Ceramic Mug (300 ml)//
49,Beauty and Personal Care,Beauty and Personal Care/Hair Care,Beauty and Personal Care/Hair Care/Conditioners,Beauty and Personal Care/Hair Care/Conditioners/Suave Conditioners,Beauty and Personal Care/Hair Care/Conditioners/Suave Conditioners/Suave Naturals Everlasting Sunshine Conditioner ...,Beauty and Personal Care/Hair Care/Conditioners/Suave Conditioners/Suave Naturals Everlasting Sunshine Conditioner .../
50,Kitchen & Dining,Kitchen & Dining/Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP life-is-not-living Ceramic Mug (300 ml),Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP life-is-not-living Ceramic Mug (300 ml)/,Kitchen & Dining/Coffee Mugs/AKUP Coffee Mugs/AKUP life-is-not-living Ceramic Mug (300 ml)//
51,Computers,Computers/Tablet Accessories,Computers/Tablet Accessories/Keyboards,Computers/Tablet Accessories/Keyboards/RoQ Keyboards,Computers/Tablet Accessories/Keyboards/RoQ Keyboards/RoQ Slim Multimedia 105key Flexible Wired USB Fl...,Computers/Tablet Accessories/Keyboards/RoQ Keyboards/RoQ Slim Multimedia 105key Flexible Wired USB Fl.../
52,Kitchen & Dining,Kitchen & Dining/Cookware,Kitchen & Dining/Cookware/Casserole & Sets,Kitchen & Dining/Cookware/Casserole & Sets/Cookart Casserole & Sets,Kitchen & Dining/Cookware/Casserole & Sets/Cookart Casserole & Sets/Cookart Elegant S.S. Handi With Hot Pot Pack of ...,Kitchen & Dining/Cookware/Casserole & Sets/Cookart Casserole & Sets/Cookart Elegant S.S. Handi With Hot Pot Pack of .../
53,Computers,Computers/Laptop Accessories,Computers/Laptop Accessories/USB Gadgets,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets/JRB 1038 Smallest Mobile Powered By OTG Enabled ...,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets/JRB 1038 Smallest Mobile Powered By OTG Enabled .../
54,Computers,Computers/Laptop Accessories,Computers/Laptop Accessories/USB Gadgets,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets/JRB 1033 Smallest Mobile Powered By OTG Enabled ...,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets/JRB 1033 Smallest Mobile Powered By OTG Enabled .../
55,Computers,Computers/Laptop Accessories,Computers/Laptop Accessories/USB Gadgets,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets/JRB 1042 Smallest Mobile Powered By OTG Enabled ...,Computers/Laptop Accessories/USB Gadgets/JRB USB Gadgets/JRB 1042 Smallest Mobile Powered By OTG Enabled .../
56,Beauty and Personal Care,Beauty and Personal Care/Makeup,Beauty and Personal Care/Makeup/Vanity Boxes,Beauty and Personal Care/Makeup/Vanity Boxes/Borse Vanity Boxes,Beauty and Personal Care/Makeup/Vanity Boxes/Borse Vanity Boxes/,Beauty and Personal Care/Makeup/Vanity Boxes/Borse Vanity Boxes//
57,Beauty and Personal Care,Beauty and Personal Care/Combos and Kits,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN...,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN.../,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN...//
58,Beauty and Personal Care,Beauty and Personal Care/Combos and Kits,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN...,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN.../,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN...//
59,Beauty and Personal Care,Beauty and Personal Care/Combos and Kits,Beauty and Personal Care/Combos and Kits/Brillare Science Combos and Kits,Beauty and Personal Care/Combos and Kits/Brillare Science Combos and Kits/Brillare Science Dandruff Control Shampoo & Inte...,Beauty and Personal Care/Combos and Kits/Brillare Science Combos and Kits/Brillare Science Dandruff Control Shampoo & Inte.../,Beauty and Personal Care/Combos and Kits/Brillare Science Combos and Kits/Brillare Science Dandruff Control Shampoo & Inte...//
60,Beauty and Personal Care,Beauty and Personal Care/Combos and Kits,Beauty and Personal Care/Combos and Kits/Mars Combos and Kits,"Beauty and Personal Care/Combos and Kits/Mars Combos and Kits/Mars Queen Eye Liner, Lip Gloss, EyeLiner (Set o...","Beauty and Personal Care/Combos and Kits/Mars Combos and Kits/Mars Queen Eye Liner, Lip Gloss, EyeLiner (Set o.../","Beauty and Personal Care/Combos and Kits/Mars Combos and Kits/Mars Queen Eye Liner, Lip Gloss, EyeLiner (Set o...//"
61,Beauty and Personal Care,Beauty and Personal Care/Combos and Kits,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN...,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN.../,Beauty and Personal Care/Combos and Kits/RYTHMX Combos and Kits/RYTHMX FB NAIL POLISHES BLACK LIPSTICKS IMPORTAN...//
62,Beauty and Personal Care,Beauty and Personal Care/Makeup,Beauty and Personal Care/Makeup/Nails,Beauty and Personal Care/Makeup/Nails/Nail Polishes,Beauty and Personal Care/Makeup/Nails/Nail Polishes/Aroma Care Nail Polishes,Beauty and Personal Care/Makeup/Nails/Nail Polishes/Aroma Care Nail Polishes/Aroma Care Intense Color Nail Polish Combo 17505...
63,Baby Care,Baby Care/Feeding & Nursing,Baby Care/Feeding & Nursing/Bottles & Accessories,Baby Care/Feeding & Nursing/Bottles & Accessories/Bottle Covers,Baby Care/Feeding & Nursing/Bottles & Accessories/Bottle Covers/KOHL Bottle Covers,Baby Care/Feeding & Nursing/Bottles & Accessories/Bottle Covers/KOHL Bottle Covers/KOHL Wine Bag Yellow (Yellow)
64,Kitchen & Dining,Kitchen & Dining/Coffee Mugs,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs/Shopmania Happy Birthday Gift For Starting Lette...,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs/Shopmania Happy Birthday Gift For Starting Lette.../,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs/Shopmania Happy Birthday Gift For Starting Lette...//
65,Kitchen & Dining,Kitchen & Dining/Coffee Mugs,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs/Shopmania Happy Birthday Gift For Starting Lette...,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs/Shopmania Happy Birthday Gift For Starting Lette.../,Kitchen & Dining/Coffee Mugs/Shopmania Coffee Mugs/Shopmania Happy Birthday Gift For Starting Lette...//
66,Baby Care,Baby Care/Baby Bedding,Baby Care/Baby Bedding/Baby Mattresses,Baby Care/Baby Bedding/Baby Mattresses/CHHOTE JANAB Baby Mattresses,Baby Care/Baby Bedding/Baby Mattresses/CHHOTE JANAB Baby Mattresses/CHHOTE JANAB COZY MATTRESS PROTECTOR(SET OF 2) (...,Baby Care/Baby Bedding/Baby Mattresses/CHHOTE JANAB Baby Mattresses/CHHOTE JANAB COZY MATTRESS PROTECTOR(SET OF 2) (.../
67,Home Furnishing,Home Furnishing/Kitchen & Dining Linen,Home Furnishing/Kitchen & Dining Linen/Table Covers,"Home Furnishing/Kitchen & Dining Linen/Table Covers/Prime Printed 4 Seater Table Cover (Multicolor, ...","Home Furnishing/Kitchen & Dining Linen/Table Covers/Prime Printed 4 Seater Table Cover (Multicolor, .../","Home Furnishing/Kitchen & Dining Linen/Table Covers/Prime Printed 4 Seater Table Cover (Multicolor, ...//"
68,Kitchen & Dining,Kitchen & Dining/Containers & Bottles,Kitchen & Dining/Containers & Bottles/Lunch Boxes,Kitchen & Dining/Containers & Bottles/Lunch Boxes/SKI Lunch Boxes,Kitchen & Dining/Containers & Bottles/Lunch Boxes/SKI Lunch Boxes/SKI WINNER GIFT SET SKYBLUE02 2 Containers Lunch...,Kitchen & Dining/Containers & Bottles/Lunch Boxes/SKI Lunch Boxes/SKI WINNER GIFT SET SKYBLUE02 2 Containers Lunch.../
69,Kitchen & Dining,Kitchen & Dining/Containers & Bottles,Kitchen & Dining/Containers & Bottles/Lunch Boxes,Kitchen & Dining/Containers & Bottles/Lunch Boxes/GAYATRI CREATIONS Lunch Boxes,Kitchen & Dining/Containers & Bottles/Lunch Boxes/GAYATRI CREATIONS Lunch Boxes/GAYATRI CREATIONS ORANGE KIDS SET 2 Containers L...,Kitchen & Dining/Containers & Bottles/Lunch Boxes/GAYATRI CREATIONS Lunch Boxes/GAYATRI CREATIONS ORANGE KIDS SET 2 Containers L.../
70,Kitchen & Dining,Kitchen & Dining/Consumables & Disposables,Kitchen & Dining/Consumables & Disposables/Bowls,Kitchen & Dining/Consumables & Disposables/Bowls/Caffeine Bowls,Kitchen & Dining/Consumables & Disposables/Bowls/Caffeine Bowls/Caffeine Handmade Tribal Print Influenced Katori...,Kitchen & Dining/Consumables & Disposables/Bowls/Caffeine Bowls/Caffeine Handmade Tribal Print Influenced Katori.../
71,Home Furnishing,Home Furnishing/Kitchen & Dining Linen,Home Furnishing/Kitchen & Dining Linen/Table Covers,"Home Furnishing/Kitchen & Dining Linen/Table Covers/Prime Printed 8 Seater Table Cover (Multicolor, ...","Home Furnishing/Kitchen & Dining Linen/Table Covers/Prime Printed 8 Seater Table Cover (Multicolor, .../","Home Furnishing/Kitchen & Dining Linen/Table Covers/Prime Printed 8 Seater Table Cover (Multicolor, ...//"
72,Kitchen & Dining,Kitchen & Dining/Containers & Bottles,Kitchen & Dining/Containers & Bottles/Bottles & Sippers,Kitchen & Dining/Containers & Bottles/Bottles & Sippers/Water bottle,Kitchen & Dining/Containers & Bottles/Bottles & Sippers/Water bottle/Garnet Water bottle,"Kitchen & Dining/Containers & Bottles/Bottles & Sippers/Water bottle/Garnet Water bottle/Garnet Traveller 1500 ml Bottle (Pack of 6, Mult..."
73,Baby Care,Baby Care/Infant Wear,Baby Care/Infant Wear/Baby Girls' Clothes,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers/Shorts,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers/Shorts/Vitamins Shorts
74,Baby Care,Baby Care/Infant Wear,Baby Care/Infant Wear/Baby Girls' Clothes,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers/Shorts,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers/Shorts/Vitamins Shorts
75,Baby Care,Baby Care/Infant Wear,Baby Care/Infant Wear/Baby Girls' Clothes,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers/Shorts,Baby Care/Infant Wear/Baby Girls' Clothes/Shorts & Trousers/Shorts/Vitamins Shorts
